DISTRITO,PROVINCIA,LAT_DIST,LON_DIST
VARGAS GUERRA,UCAYALI,-6.9769051,-74.9580168
CONTAMANA,UCAYALI,-7.3504619,-75.0090611
SARAYACU,UCAYALI,-6.3969342,-75.2180436
PADRE MARQUEZ,UCAYALI,-7.8670293,-74.8994093
INAHUAYA,UCAYALI,-7.1174827,-75.2645205
PAMPA HERMOSA,UCAYALI,-7.3136461,-76.1579562
UCAYALI - CONTAMANA,UCAYALI - CONTAMANA,-7.2242616,-75.1764658
CAJABAMBA,CAJABAMBA,-7.6238807,-78.0464077
SITACOCHA,CAJABAMBA,-7.491877,-77.8999671
CACHACHI,CAJABAMBA,-7.4487528,-78.2686919
CONDEBAMBA,CAJABAMBA,-7.5324512,-78.0953763
CAJAMARCA,CAJAMARCA,-7.1566682,-78.517306
LOS BAÑOS DEL INCA,CAJAMARCA,-7.0827588,-78.4704848
JESUS,CAJAMARCA,-7.2489716,-78.3794946
CHETILLA,CAJAMARCA,-7.1469797,-78.6727252
LLACANORA,CAJAMARCA,-7.1935919,-78.4266731
NAMORA,CAJAMARCA,-7.2021381,-78.3253016
COSPAN,CAJAMARCA,-7.4270012,-78.5423093
ENCAÑADA,CAJAMARCA,-6.9816201,-78.4079551
MATARA,CAJAMARCA,-7.2750555,-78.2629041
ASUNCION,CAJAMARCA,-7.3234733,-78.5185817
SAN JUAN,CAJAMARCA,-7.2917583,-78.4975638
MAGDALENA,CAJAMARCA,-7.2246172,-78.6311663
TUMBADEN,SAN PABLO,-7.0249393,-78.7397496
CELENDIN,CELENDIN,-6.8654175,-78.1454655
SUCRE,CELENDIN,-6.9426948,-78.1356347
SOROCHUCO,CELENDIN,-6.9116568,-78.2550906
HUASMIN,CELENDIN,-6.8376064,-78.2449857
MIGUEL IGLESIAS,CELENDIN,-6.6774179,-78.2041829
JOSE GALVEZ,CELENDIN,-6.9257243,-78.1327793
LA LIBERTAD DE PALLAN,CELENDIN,-6.7234922,-78.2823411
OXAMARCA,CELENDIN,-7.0419042,-78.0680177
CORTEGANA,CELENDIN,-6.5132567,-78.3289876
CHUMUCH,CELENDIN,-6.6029568,-78.200322
LAJAS,CHOTA,-6.5603051,-78.7347385
CHOTA,CHOTA,-6.5614846,-78.6509551
CONCHAN,CHOTA,-6.444536,-78.6559814
CHIMBAN,CHOTA,-6.2514295,-78.4784639
MIRACOSTA,CHOTA,-6.4047699,-79.2837793
HUAMBOS,CHOTA,-6.4526579,-78.9609489
LLAMA,CHOTA,-6.5146412,-79.1200724
CHADIN,CHOTA,-6.434157,-78.4102176
CHOROPAMPA,CHOTA,-6.3720964,-78.377002
CHALAMARCA,CHOTA,-6.5031727,-78.4797597
QUEROCOTO,CHOTA,-6.3591933,-79.0346121
TACABAMBA,CHOTA,-6.3929949,-78.6112435
ANGUIA,CHOTA,-6.3414242,-78.605603
CHIGUIRIP,CHOTA,-6.4281698,-78.7212712
COCHABAMBA,CHOTA,-6.474381,-78.8851926
PACCHA,CHOTA,-6.4973639,-78.4234478
TOCMOCHE,CHOTA,-6.4129611,-79.3607734
PION,CHOTA,-6.1782783,-78.4821171
SAN JUAN DE LICUPIS,CHOTA,-6.4772439,-79.2481234
YONAN,CONTUMAZA,-7.2849207,-79.1833583
SAN BENITO,CONTUMAZA,-7.5205811,-78.9586674
GUZMANGO,CONTUMAZA,-7.3850276,-78.8963668
TANTARICA,CONTUMAZA,-7.2698246,-78.944504
CHILETE,CONTUMAZA,-7.2213783,-78.8396922
CONTUMAZA,CONTUMAZA,-7.36625,-78.8051109
CUPISNIQUE,CONTUMAZA,-7.3716381,-79.0681649
SANTA CRUZ DE TOLEDO,CONTUMAZA,-7.3439935,-78.8371489
CUTERVO,CUTERVO,-6.3790362,-78.8157238
SAN ANDRES DE CUTERVO,CUTERVO,-6.238498,-78.7123154
SOCOTA,CUTERVO,-6.2875083,-78.7178366
SANTO DOMINGO DE LA CAPILLA,CUTERVO,-6.2445336,-78.8553076
SANTA CRUZ,CUTERVO,-6.095069,-78.8528691
PIMPINGOS,CUTERVO,-6.0619295,-78.7583334
SAN JUAN DE CUTERVO,CUTERVO,-6.1634022,-78.5978979
QUEROCOTILLO,CUTERVO,-6.2735837,-79.0381664
SANTO TOMAS,CUTERVO,-6.1513646,-78.6823138
CALLAYUC,CUTERVO,-6.1808953,-78.9101946
CUJILLO,CUTERVO,-6.1070938,-78.5741191
CHOROS,CUTERVO,-5.9003238,-78.693769
LA RAMADA,CUTERVO,-6.2120596,-78.5602617
TORIBIO CASANOVA,CUTERVO,-5.9873916,-78.685043
SAN LUIS DE LUCMA,CUTERVO,-6.2941228,-78.6035288
BAMBAMARCA,HUALGAYOC,-6.68221,-78.5201491
HUALGAYOC,HUALGAYOC,-6.7683402,-78.6096155
CHUGUR,HUALGAYOC,-6.6706526,-78.7385194
PUCARA,JAEN,-6.0418131,-79.1300978
JAEN,JAEN,-5.7086087,-78.8075898
CHONTALI,JAEN,-5.6460405,-79.0880569
SALLIQUE,JAEN,-5.6583409,-79.3155413
COLASAY,JAEN,-5.9788585,-79.068558
BELLAVISTA,JAEN,-5.6655198,-78.6790967
POMAHUACA,JAEN,-5.9318961,-79.2296103
SAN JOSE DEL ALTO,JAEN,-5.4650716,-79.0176281
SANTA ROSA,JAEN,-5.4327549,-78.566755
LAS PIRIAS,JAEN,-5.6272504,-78.8525806
HUABAL,JAEN,-5.6128756,-78.8996429
SAN FELIPE,JAEN,-5.7704483,-79.313728
SAN IGNACIO,SAN IGNACIO,-5.1459194,-79.0036525
CHIRINOS,SAN IGNACIO,-5.3039554,-78.8981584
HUARANGO,SAN IGNACIO,-5.2728294,-78.7758172
LA COIPA,SAN IGNACIO,-5.3930466,-78.9061426
TABACONAS,SAN IGNACIO,-5.3160315,-79.2831531
SAN JOSE DE LOURDES,SAN IGNACIO,-5.1031042,-78.9138215
NAMBALLE,SAN IGNACIO,-5.0045531,-79.0876516
PEDRO GALVEZ,SAN MARCOS,-7.32439,-78.1841581
SAN MARCOS,SAN MARCOS,-7.3360223,-78.1704892
JOSE SABOGAL,SAN MARCOS,-7.2144553,-77.9822936
JOSE MANUEL QUIROZ,SAN MARCOS,-7.3537249,-78.0111071
CHANCAY,SAN MARCOS,-7.3881817,-78.12367
ICHOCAN,SAN MARCOS,-7.4043688,-78.055406
EDUARDO VILLANUEVA,SAN MARCOS,-7.4366446,-78.1476144
GREGORIO PITA,SAN MARCOS,-7.2214778,-78.1614798
SAN MIGUEL,SAN MIGUEL,-7.0698752,-78.9291686
BOLIVAR,SAN MIGUEL,-6.9768708,-79.178387
TONGOD,SAN MIGUEL,-6.7565331,-78.8246992
CALQUIS,SAN MIGUEL,-6.9801252,-78.8499806
UNION AGUA BLANCA,SAN MIGUEL,-7.1143492,-79.0459094
EL PRADO,SAN MIGUEL,-7.0336496,-79.0111824
LLAPA,SAN MIGUEL,-6.9807634,-78.8076004
CATILLUC,SAN MIGUEL,-6.8105859,-78.7281891
SAN SILVESTRE DE COCHAN,SAN MIGUEL,-6.9777058,-78.7741021
NIEPOS,SAN MIGUEL,-6.9264182,-79.1296784
NANCHOC,SAN MIGUEL,-6.9595289,-79.2427447
LA FLORIDA,SAN MIGUEL,-6.8696112,-79.1220288
SAN GREGORIO,SAN MIGUEL,-7.0571249,-79.0951175
SAN PABLO,SAN PABLO,-7.1183111,-78.823435
SAN BERNARDINO,SAN PABLO,-7.165292,-78.7831824
SAN LUIS,SAN PABLO,-7.1572916,-78.8679074
CATACHE,SANTA CRUZ,-6.6739084,-79.0326561
CHANCAYBAÑOS,SANTA CRUZ,-6.5540423,-78.882045
SANTA CRUZ,SANTA CRUZ,-6.6287265,-78.9427022
PULAN,SANTA CRUZ,-6.7388038,-78.9204565
LA ESPERANZA,SANTA CRUZ,-6.5929359,-78.8957639
NINABAMBA,SANTA CRUZ,-6.6501099,-78.7875763
ANDABAMBA,SANTA CRUZ,-6.6628214,-78.8172733
UTICYACU,SANTA CRUZ,-6.6065559,-78.793839
YAUYUCAN,SANTA CRUZ,-6.6824506,-78.8410093
SAUCEPAMPA,SANTA CRUZ,-6.6906321,-78.9166193
SEXI,SANTA CRUZ,-6.5639099,-79.0513314
CANDARAVE,CANDARAVE,-17.2682103,-70.250337
HUANUARA,CANDARAVE,-17.3136327,-70.3222106
CAIRANI,CANDARAVE,-17.2852454,-70.3638257
QUILAHUANI,CANDARAVE,-17.3180124,-70.2584613
CAMILACA,CANDARAVE,-17.2684208,-70.380307
ITE,JORGE BASADRE,-17.8613864,-70.9653363
